transformer_id,substation_id,capacity_kva,age_years,load_factor,temperature_c,vibration_mm_s,oil_quality_index,past_failures_5y,health_score,failed_last_year
TRF-00326,SUB-0001,250,1,1.032,52.6,2.86,67.8,0,100.0,0
TRF-00327,SUB-0017,250,8,0.712,50.3,1.91,69.2,3,83.4,0
TRF-00328,SUB-0046,250,8,0.737,53.4,1.58,72.1,1,95.7,0
TRF-00329,SUB-0032,2000,39,0.824,71.9,3.62,56.7,1,47.3,0
TRF-00330,SUB-0036,1000,16,0.581,52.7,2.13,68.5,3,74.0,0
TRF-00331,SUB-0033,250,0,0.488,52.7,0.76,89.9,0,100.0,0
TRF-00332,SUB-0019,100,24,0.676,56.2,2.93,40.8,2,62.3,0
TRF-00333,SUB-0034,1000,39,0.69,84.0,3.11,34.5,2,32.8,1
TRF-00334,SUB-0049,2000,24,0.407,66.3,3.39,68.5,4,48.9,0
TRF-00335,SUB-0017,100,38,0.706,69.0,3.04,48.2,2,44.3,0
TRF-00336,SUB-0045,500,34,0.81,73.4,2.24,72.9,1,59.8,0
TRF-00337,SUB-0023,1000,2,0.513,48.5,3.06,96.3,0,100.0,0
TRF-00338,SUB-0007,500,36,0.715,76.1,3.81,61.9,3,36.2,1
TRF-00339,SUB-0029,250,29,0.784,67.9,2.77,46.5,3,47.7,0
TRF-00340,SUB-0043,2000,37,0.738,47.4,2.79,73.6,2,62.1,0
TRF-00341,SUB-0009,250,33,0.752,47.8,1.6,63.2,3,62.1,0
TRF-00342,SUB-0022,2000,11,0.613,51.4,1.73,51.1,1,89.2,0
TRF-00343,SUB-0048,1500,18,0.481,44.5,2.97,48.2,1,80.8,0
TRF-00344,SUB-0010,250,36,0.583,62.9,2.27,81.2,2,58.8,0
TRF-00345,SUB-0001,500,16,0.562,47.6,1.15,90.7,1,96.8,0
TRF-00346,SUB-0025,2000,9,0.638,56.5,4.98,36.8,0,78.6,0
TRF-00347,SUB-0035,250,11,0.814,75.2,1.05,53.0,1,80.4,0
TRF-00348,SUB-0032,1000,15,0.453,58.9,4.11,88.1,0,85.7,0
TRF-00349,SUB-0046,2000,23,0.672,58.3,2.21,65.9,2,70.0,0
TRF-00350,SUB-0012,2000,18,0.49,65.1,2.29,79.7,1,79.5,0
TRF-00351,SUB-0039,250,7,0.539,48.7,1.6,74.9,0,100.0,0
TRF-00352,SUB-0024,1500,30,0.734,74.1,3.23,71.8,1,58.9,0
TRF-00353,SUB-0003,250,20,0.472,66.9,1.25,68.1,1,78.7,0
TRF-00354,SUB-0041,500,16,0.76,60.3,0.85,63.8,3,74.3,0
TRF-00355,SUB-0018,500,22,0.447,63.5,3.73,82.7,1,71.6,0
TRF-00356,SUB-0017,2000,36,0.75,90.3,2.08,61.4,1,47.9,0
TRF-00357,SUB-0036,2000,15,0.418,70.8,2.9,80.8,2,71.2,0
TRF-00358,SUB-0029,250,5,0.557,82.9,1.23,79.4,1,86.5,0
TRF-00359,SUB-0018,500,7,0.934,63.5,2.71,68.5,0,92.3,0
TRF-00360,SUB-0022,500,24,0.906,44.5,3.83,89.7,1,80.3,0
TRF-00361,SUB-0015,1500,17,0.588,57.0,1.92,75.1,3,73.1,0
TRF-00362,SUB-0000,1000,24,0.708,41.8,0.93,60.3,0,93.3,0
TRF-00363,SUB-0011,1500,11,0.831,64.6,3.57,92.6,0,89.5,0
TRF-00364,SUB-0023,100,14,0.752,68.1,3.02,51.8,1,73.1,0
TRF-00365,SUB-0033,1500,25,0.609,51.9,2.12,98.5,2,78.3,0
TRF-00366,SUB-0007,250,25,0.538,54.6,2.33,62.3,1,74.8,0
TRF-00367,SUB-0017,1000,31,0.78,66.1,1.73,42.4,6,32.1,1
TRF-00368,SUB-0047,250,9,0.82,43.3,3.32,100.0,1,98.5,0
TRF-00369,SUB-0004,100,15,0.907,44.2,1.87,64.1,0,97.2,0
TRF-00370,SUB-0025,1000,6,0.397,71.7,0.99,80.0,1,92.3,0
TRF-00371,SUB-0029,2000,16,0.462,61.2,2.49,81.2,0,88.8,0
TRF-00372,SUB-0012,500,22,0.824,54.9,1.75,84.6,0,90.2,0
TRF-00373,SUB-0018,1500,25,0.417,42.2,1.68,69.5,0,91.1,0
TRF-00374,SUB-0028,250,20,0.836,71.2,2.06,58.3,1,71.3,0
TRF-00375,SUB-0002,100,21,0.618,53.1,2.49,70.7,1,80.2,0
TRF-00376,SUB-0025,500,6,0.572,79.1,1.02,70.1,0,92.5,0
TRF-00377,SUB-0039,1500,13,0.681,69.2,3.37,75.9,1,76.9,0
TRF-00378,SUB-0011,500,14,0.448,49.5,2.82,96.0,3,80.1,0
TRF-00379,SUB-0001,1500,6,0.774,48.2,1.83,87.7,1,100.0,0
TRF-00380,SUB-0010,2000,8,0.903,78.1,1.44,78.3,0,91.2,0
TRF-00381,SUB-0043,1000,7,0.781,56.1,2.07,86.9,0,100.0,0
TRF-00382,SUB-0027,500,22,0.613,55.4,3.16,79.0,1,77.1,0
TRF-00383,SUB-0017,500,28,0.419,63.7,3.16,47.0,1,61.2,0
TRF-00384,SUB-0012,500,17,0.425,53.9,3.19,70.4,0,86.6,0
TRF-00385,SUB-0036,1000,30,0.451,66.9,2.22,100.0,2,66.2,0
TRF-00386,SUB-0021,100,29,0.648,62.8,0.24,80.8,3,67.2,0
TRF-00387,SUB-0011,1500,38,0.667,76.9,3.76,49.6,1,43.7,0
TRF-00388,SUB-0001,2000,34,0.78,60.5,2.55,50.6,2,54.6,0
TRF-00389,SUB-0036,500,17,0.381,49.5,2.87,60.3,4,64.0,0
TRF-00390,SUB-0006,1000,38,0.847,62.2,4.1,70.2,2,47.9,0
TRF-00391,SUB-0025,100,16,0.754,55.5,4.27,94.5,2,75.2,0
TRF-00392,SUB-0025,1500,13,0.601,58.0,1.74,80.9,2,84.0,0
TRF-00393,SUB-0023,1000,30,0.472,71.6,2.71,64.4,1,60.7,0
TRF-00394,SUB-0011,2000,23,0.837,68.9,3.55,59.5,2,58.1,0
TRF-00395,SUB-0015,2000,34,0.605,79.6,2.0,64.5,5,32.0,1
TRF-00396,SUB-0022,1500,33,0.647,55.2,2.19,47.9,2,59.0,0
TRF-00397,SUB-0039,500,2,0.708,60.3,1.57,49.8,0,99.2,0
TRF-00398,SUB-0008,2000,36,0.513,74.5,2.7,83.0,1,57.6,0
TRF-00399,SUB-0031,100,39,0.608,58.6,2.6,41.5,1,55.0,0
TRF-00400,SUB-0014,1000,25,0.78,60.0,2.02,60.1,1,72.9,0
TRF-00401,SUB-0036,100,22,0.765,40.6,1.67,76.6,1,90.1,0
TRF-00402,SUB-0012,500,38,0.766,77.3,3.41,78.7,4,32.8,1
TRF-00403,SUB-0004,100,14,0.477,56.6,3.35,75.5,4,64.3,0
TRF-00404,SUB-0010,100,3,0.615,65.6,3.25,60.3,0,91.1,0
TRF-00405,SUB-0009,250,28,0.591,65.9,2.18,58.7,2,60.4,0
TRF-00406,SUB-0012,100,21,0.714,59.1,3.1,57.2,2,66.1,0
TRF-00407,SUB-0040,1500,24,0.7,43.1,2.67,65.0,0,86.7,0
TRF-00408,SUB-0045,1000,12,0.673,41.6,1.78,91.3,0,100.0,0
TRF-00409,SUB-0049,250,17,1.02,29.0,2.93,31.7,3,74.3,0
TRF-00410,SUB-0014,1000,32,0.606,57.8,2.15,54.6,2,60.1,0
TRF-00411,SUB-0041,1000,15,0.589,86.8,2.0,63.7,4,51.3,0
TRF-00412,SUB-0006,500,1,0.476,39.8,0.92,60.5,0,100.0,0
TRF-00413,SUB-0039,500,34,0.419,33.6,2.31,68.4,3,66.5,0
TRF-00414,SUB-0027,250,33,0.467,76.5,2.86,39.0,1,49.9,0
TRF-00415,SUB-0031,2000,29,0.542,92.1,3.84,43.1,1,42.6,0
TRF-00416,SUB-0034,500,12,0.847,62.2,1.96,85.6,0,94.9,0
TRF-00417,SUB-0014,500,12,0.656,62.1,1.41,95.3,0,99.1,0
TRF-00418,SUB-0047,500,17,0.679,56.4,3.54,68.7,1,77.6,0
TRF-00419,SUB-0035,1000,31,0.636,42.8,2.22,43.1,3,60.0,0
TRF-00420,SUB-0020,250,31,0.705,46.9,1.22,50.8,5,51.4,0
TRF-00421,SUB-0005,1000,34,0.86,61.4,2.79,74.7,2,58.0,0
TRF-00422,SUB-0000,1500,38,0.351,60.3,2.5,58.9,2,52.9,0
TRF-00423,SUB-0003,1000,28,0.833,62.0,4.4,61.7,0,66.0,0
TRF-00424,SUB-0010,1500,28,0.273,73.4,2.94,67.9,1,61.4,0
TRF-00425,SUB-0043,100,15,0.654,52.5,2.18,70.4,1,87.1,0
TRF-00426,SUB-0025,100,9,0.979,67.9,1.44,97.8,1,93.2,0
TRF-00427,SUB-0036,1500,29,0.752,56.8,2.84,51.4,2,59.9,0
TRF-00428,SUB-0022,1500,24,0.706,74.7,3.65,52.6,4,40.5,0
TRF-00429,SUB-0028,1000,38,0.95,67.4,3.01,36.4,1,48.8,0
TRF-00430,SUB-0020,1500,19,0.545,55.5,1.7,60.5,3,70.0,0
TRF-00431,SUB-0047,250,4,0.715,57.0,2.51,61.2,1,91.6,0
TRF-00432,SUB-0044,100,0,0.737,51.5,1.96,83.3,0,100.0,0
TRF-00433,SUB-0044,100,29,0.572,65.1,2.94,62.9,2,57.7,0
TRF-00434,SUB-0048,2000,2,0.585,64.7,1.76,62.6,1,92.8,0
TRF-00435,SUB-0026,1500,13,0.568,57.9,1.96,81.0,1,89.3,0
TRF-00436,SUB-0038,500,29,0.663,59.3,2.25,85.4,4,55.9,0
TRF-00437,SUB-0039,500,3,0.732,42.4,2.81,83.6,1,100.0,0
TRF-00438,SUB-0012,1500,17,0.668,67.1,2.05,31.6,1,70.8,0
TRF-00439,SUB-0022,250,36,0.756,70.0,2.35,88.2,1,62.3,0
TRF-00440,SUB-0015,500,24,0.355,48.0,1.73,76.8,2,78.3,0
TRF-00441,SUB-0029,2000,0,0.617,65.0,2.36,100.0,0,100.0,0
TRF-00442,SUB-0003,1500,14,0.496,44.8,2.53,88.0,1,94.0,0
TRF-00443,SUB-0039,250,8,0.695,69.8,1.8,94.6,0,97.1,0
TRF-00444,SUB-0015,250,14,0.693,67.5,1.71,74.7,1,83.3,0
TRF-00445,SUB-0030,1000,23,0.633,66.9,3.96,62.3,1,63.9,0
TRF-00446,SUB-0041,250,3,0.727,51.4,0.56,83.8,0,100.0,0
TRF-00447,SUB-0024,500,11,0.8,65.2,2.61,62.8,3,69.1,0
TRF-00448,SUB-0043,500,36,0.641,78.7,3.75,64.9,2,41.7,0
TRF-00449,SUB-0011,1500,36,0.492,72.9,0.2,19.0,1,55.6,0
TRF-00450,SUB-0025,1500,5,0.413,48.5,2.74,77.6,1,97.4,0
TRF-00451,SUB-0036,250,38,0.655,69.6,2.58,77.4,4,39.6,1
TRF-00452,SUB-0047,2000,23,0.686,75.5,2.66,67.6,2,59.9,0
TRF-00453,SUB-0032,100,10,0.505,84.4,1.94,99.9,1,82.5,0
TRF-00454,SUB-0027,1000,12,0.759,56.1,3.1,68.8,1,84.0,0
TRF-00455,SUB-0008,100,33,0.581,75.2,2.95,75.2,0,63.4,0
TRF-00456,SUB-0011,250,24,0.402,75.8,2.59,52.4,1,62.1,0
TRF-00457,SUB-0004,250,6,0.838,47.1,1.4,90.8,2,99.1,0
TRF-00458,SUB-0027,100,3,0.822,77.3,3.57,81.7,0,88.2,0
TRF-00459,SUB-0034,1000,7,0.348,44.3,2.15,72.5,0,100.0,0
TRF-00460,SUB-0004,100,19,0.566,70.4,4.21,30.0,1,58.3,0
TRF-00461,SUB-0033,1500,28,0.56,67.1,4.1,59.4,1,58.2,0
TRF-00462,SUB-0045,500,9,0.896,58.4,0.76,77.8,0,100.0,0
TRF-00463,SUB-0033,2000,33,0.635,95.5,2.14,72.6,5,26.1,1
TRF-00464,SUB-0012,1500,25,0.426,58.9,1.67,88.4,3,68.6,0
TRF-00465,SUB-0038,500,2,0.782,51.8,2.0,100.0,2,99.8,0
TRF-00466,SUB-0041,2000,5,0.465,72.5,2.25,95.7,0,96.9,0
TRF-00467,SUB-0044,2000,4,0.611,65.3,2.26,69.2,0,96.0,0
TRF-00468,SUB-0047,2000,4,0.535,71.6,2.92,73.0,0,91.0,0
TRF-00469,SUB-0013,250,22,0.566,63.0,3.63,77.9,1,71.2,0
TRF-00470,SUB-0010,2000,8,0.791,61.2,2.93,83.0,1,88.6,0
TRF-00471,SUB-0041,1000,34,0.878,88.0,2.23,84.0,1,54.8,0
TRF-00472,SUB-0037,100,19,0.459,50.7,1.75,100.0,1,92.0,0
TRF-00473,SUB-0003,1000,34,0.744,64.0,2.68,93.6,2,60.9,0
TRF-00474,SUB-0032,100,17,0.54,69.7,2.68,92.2,0,85.1,0
TRF-00475,SUB-0006,1500,16,0.545,57.4,2.17,78.3,2,79.3,0
TRF-00476,SUB-0040,1500,23,0.724,55.1,1.38,86.4,6,55.0,0
TRF-00477,SUB-0007,100,2,0.496,63.0,2.59,100.0,0,100.0,0
TRF-00478,SUB-0036,1000,31,0.721,80.3,2.31,59.2,2,50.0,0
TRF-00479,SUB-0009,100,34,0.76,63.5,2.34,51.6,4,42.1,0
TRF-00480,SUB-0042,2000,37,0.585,64.1,2.7,46.3,1,54.6,0
TRF-00481,SUB-0014,250,12,0.849,50.8,2.05,59.7,1,89.0,0
TRF-00482,SUB-0037,1500,24,0.459,58.6,2.19,44.9,2,64.8,0
TRF-00483,SUB-0014,250,8,0.852,70.4,1.14,78.9,0,96.3,0
TRF-00484,SUB-0004,2000,3,0.358,56.9,1.97,63.2,2,89.1,0
TRF-00485,SUB-0028,2000,13,1.055,49.2,2.82,60.4,1,86.0,0
TRF-00486,SUB-0018,1500,36,0.589,68.9,2.93,68.9,5,32.7,1
TRF-00487,SUB-0009,1500,33,0.476,77.5,3.42,62.9,4,34.0,1
TRF-00488,SUB-0011,2000,10,0.615,51.3,1.62,80.4,1,96.5,0
TRF-00489,SUB-0003,500,2,0.493,39.7,1.02,99.3,1,100.0,0
TRF-00490,SUB-0030,250,27,0.708,89.4,2.34,76.8,6,28.5,1
TRF-00491,SUB-0017,250,28,0.855,46.9,2.07,86.0,2,75.8,0
TRF-00492,SUB-0015,500,8,0.501,53.1,1.75,76.4,0,100.0,0
TRF-00493,SUB-0039,1000,2,0.737,58.4,2.21,100.0,1,100.0,0
TRF-00494,SUB-0035,250,24,0.42,58.9,2.08,71.0,3,64.3,0
TRF-00495,SUB-0024,100,33,0.805,64.0,1.66,62.7,3,53.7,0
TRF-00496,SUB-0022,2000,11,0.712,65.2,1.77,95.3,1,91.0,0
TRF-00497,SUB-0011,2000,8,0.811,28.7,2.43,62.1,1,100.0,0
TRF-00498,SUB-0033,500,14,0.632,44.0,2.82,100.0,0,100.0,0
TRF-00499,SUB-0035,250,39,0.585,67.2,3.31,52.4,1,50.0,0
