meter_id,consumer_id,region,consumer_type,expected_monthly_kwh,actual_monthly_kwh,usage_ratio,night_usage_ratio,voltage_variance,billing_disputes_1y,is_theft_flag_ground_truth
MTR-001909,CUS-001909,Lahore,Residential,245.2,261.7,1.067,0.291,2.42,1,0
MTR-000790,CUS-000790,Lahore,Residential,213.5,212.4,0.995,0.136,2.12,0,0
MTR-002120,CUS-002120,Rawalpindi,Residential,136.9,146.1,1.067,0.404,2.27,0,0
MTR-001446,CUS-001446,Lahore,Commercial,1038.9,1153.3,1.11,0.466,1.87,0,0
MTR-000247,CUS-000247,Lahore,Residential,165.5,140.5,0.849,0.286,3.45,0,0
MTR-000829,CUS-000829,Islamabad,Residential,101.8,115.2,1.132,0.228,2.63,1,0
MTR-001124,CUS-001124,Multan,Residential,175.9,174.7,0.993,0.42,2.12,0,0
MTR-002720,CUS-002720,Rawalpindi,Industrial,5526.5,6493.5,1.175,0.451,2.91,0,0
MTR-000626,CUS-000626,Multan,Residential,170.9,197.0,1.152,0.286,2.13,0,0
MTR-000347,CUS-000347,Peshawar,Residential,161.8,141.8,0.876,0.283,3.12,0,0
MTR-000278,CUS-000278,Faisalabad,Residential,186.7,186.7,1.0,0.294,0.82,0,0
MTR-001783,CUS-001783,Multan,Residential,219.6,170.4,0.776,0.166,4.13,0,0
MTR-002280,CUS-002280,Faisalabad,Industrial,4098.5,3908.6,0.954,0.277,2.17,0,0
MTR-000655,CUS-000655,Rawalpindi,Commercial,1043.7,1088.3,1.043,0.437,0.86,0,0
MTR-001213,CUS-001213,Multan,Residential,128.8,141.9,1.102,0.287,2.75,0,0
MTR-000838,CUS-000838,Karachi,Residential,251.0,253.1,1.008,0.217,3.29,0,0
MTR-002624,CUS-002624,Islamabad,Residential,294.6,310.3,1.053,0.34,0.98,1,0
MTR-002588,CUS-002588,Islamabad,Residential,210.3,192.6,0.916,0.247,1.53,0,0
MTR-002350,CUS-002350,Peshawar,Residential,244.0,243.4,0.998,0.295,3.01,0,0
MTR-001709,CUS-001709,Lahore,Residential,124.3,115.5,0.929,0.198,2.56,1,0
MTR-002023,CUS-002023,Faisalabad,Residential,188.2,194.6,1.034,0.217,1.56,1,0
MTR-000976,CUS-000976,Multan,Commercial,577.2,673.5,1.167,0.359,1.75,1,0
MTR-000445,CUS-000445,Multan,Industrial,5004.9,4970.7,0.993,0.309,0.75,0,0
MTR-000617,CUS-000617,Lahore,Residential,113.0,94.4,0.835,0.238,1.01,3,0
MTR-001474,CUS-001474,Karachi,Commercial,1180.4,1208.2,1.024,0.31,0.33,1,0
MTR-001778,CUS-001778,Peshawar,Industrial,6074.7,6588.9,1.085,0.251,1.65,0,0
MTR-002517,CUS-002517,Islamabad,Commercial,385.6,343.1,0.89,0.237,2.68,1,0
MTR-001244,CUS-001244,Karachi,Residential,260.3,299.1,1.149,0.393,1.73,0,0
MTR-002995,CUS-002995,Faisalabad,Residential,146.9,136.4,0.928,0.363,3.12,1,0
MTR-002552,CUS-002552,Lahore,Commercial,955.2,868.1,0.909,0.298,1.35,1,0
MTR-000547,CUS-000547,Karachi,Residential,236.2,102.1,0.432,0.678,3.63,2,1
MTR-002210,CUS-002210,Multan,Residential,156.1,161.1,1.032,0.299,3.15,0,0
MTR-001623,CUS-001623,Rawalpindi,Residential,195.6,34.4,0.176,0.587,4.39,1,1
MTR-000263,CUS-000263,Lahore,Residential,144.4,150.8,1.044,0.236,3.23,0,0
MTR-001397,CUS-001397,Islamabad,Industrial,3100.0,2826.9,0.912,0.369,1.66,0,0
MTR-002353,CUS-002353,Rawalpindi,Residential,138.0,146.5,1.062,0.328,3.59,0,0
MTR-001815,CUS-001815,Karachi,Residential,15.0,16.4,1.096,0.279,0.92,0,0
MTR-000353,CUS-000353,Peshawar,Residential,213.4,243.1,1.139,0.261,1.71,0,0
MTR-001075,CUS-001075,Multan,Residential,221.3,188.5,0.852,0.367,2.41,0,0
MTR-000208,CUS-000208,Islamabad,Residential,215.6,255.8,1.186,0.288,1.53,0,0
MTR-000613,CUS-000613,Karachi,Residential,174.4,178.9,1.026,0.244,2.23,0,0
MTR-002090,CUS-002090,Multan,Residential,182.3,220.7,1.21,0.269,3.25,1,0
MTR-002099,CUS-002099,Lahore,Residential,151.5,154.3,1.019,0.362,2.38,0,0
MTR-001498,CUS-001498,Multan,Commercial,742.7,137.7,0.185,0.896,7.24,2,1
MTR-001135,CUS-001135,Multan,Residential,15.0,13.3,0.886,0.272,3.23,1,0
MTR-002880,CUS-002880,Peshawar,Residential,109.9,122.9,1.118,0.386,2.51,1,0
MTR-002078,CUS-002078,Peshawar,Residential,135.1,117.6,0.871,0.287,1.99,0,0
MTR-000057,CUS-000057,Multan,Residential,328.4,339.0,1.032,0.322,1.92,0,0
MTR-002483,CUS-002483,Rawalpindi,Residential,152.0,144.1,0.948,0.387,1.63,0,0
MTR-000811,CUS-000811,Faisalabad,Residential,287.1,284.1,0.989,0.371,2.84,1,0
MTR-002195,CUS-002195,Peshawar,Residential,140.7,159.0,1.13,0.265,2.88,0,0
MTR-000561,CUS-000561,Faisalabad,Residential,131.2,125.6,0.957,0.29,3.27,0,0
MTR-002943,CUS-002943,Peshawar,Residential,166.9,189.0,1.133,0.372,2.43,0,0
MTR-000229,CUS-000229,Lahore,Residential,181.2,172.4,0.951,0.375,1.46,0,0
MTR-002509,CUS-002509,Faisalabad,Residential,155.2,157.6,1.016,0.293,2.33,1,0
MTR-001721,CUS-001721,Faisalabad,Residential,208.8,262.7,1.258,0.296,1.44,0,0
MTR-002179,CUS-002179,Multan,Residential,66.8,67.8,1.015,0.321,2.16,0,0
MTR-001450,CUS-001450,Karachi,Residential,232.6,230.5,0.991,0.409,3.41,0,0
MTR-001234,CUS-001234,Islamabad,Commercial,779.0,792.1,1.017,0.385,3.18,0,0
MTR-001071,CUS-001071,Rawalpindi,Industrial,6058.3,5818.2,0.96,0.355,2.91,0,0
MTR-002849,CUS-002849,Multan,Industrial,6142.9,5404.8,0.88,0.214,1.98,1,0
MTR-001037,CUS-001037,Islamabad,Residential,229.6,286.3,1.247,0.278,2.9,1,0
MTR-000889,CUS-000889,Faisalabad,Industrial,6807.3,6475.4,0.951,0.282,1.36,0,0
MTR-001053,CUS-001053,Islamabad,Residential,267.5,218.6,0.817,0.413,0.54,1,0
MTR-000707,CUS-000707,Faisalabad,Commercial,1124.5,1103.5,0.981,0.281,2.27,0,0
MTR-000424,CUS-000424,Peshawar,Industrial,15.0,15.6,1.043,0.4,1.62,0,0
MTR-000069,CUS-000069,Peshawar,Commercial,1173.1,1143.8,0.975,0.254,3.78,1,0
MTR-002249,CUS-002249,Lahore,Residential,118.5,117.8,0.994,0.261,3.63,1,0
MTR-002535,CUS-002535,Peshawar,Residential,109.1,107.0,0.98,0.339,1.31,0,0
MTR-002839,CUS-002839,Faisalabad,Residential,86.1,90.5,1.051,0.425,2.69,0,0
MTR-002406,CUS-002406,Multan,Residential,177.5,194.9,1.098,0.283,0.1,1,0
MTR-002963,CUS-002963,Multan,Residential,260.7,254.7,0.977,0.095,2.34,0,0
MTR-002581,CUS-002581,Karachi,Residential,145.2,190.3,1.311,0.175,2.31,0,0
MTR-002092,CUS-002092,Islamabad,Commercial,791.3,890.1,1.125,0.324,1.01,0,0
MTR-000940,CUS-000940,Faisalabad,Residential,180.8,180.7,0.999,0.182,2.17,0,0
MTR-000620,CUS-000620,Peshawar,Residential,267.9,225.5,0.842,0.231,1.07,0,0
MTR-002519,CUS-002519,Multan,Residential,289.6,47.9,0.166,0.58,5.33,1,1
MTR-001196,CUS-001196,Karachi,Residential,211.5,232.2,1.098,0.104,2.19,0,0
MTR-002067,CUS-002067,Rawalpindi,Residential,259.2,284.8,1.099,0.27,3.49,1,0
MTR-001032,CUS-001032,Rawalpindi,Residential,159.2,123.8,0.778,0.207,0.47,0,0
MTR-001505,CUS-001505,Lahore,Residential,234.9,238.2,1.014,0.18,1.13,1,0
MTR-001576,CUS-001576,Karachi,Residential,198.4,187.0,0.942,0.236,1.51,0,0
MTR-002130,CUS-002130,Peshawar,Residential,126.8,149.6,1.18,0.214,2.49,1,0
MTR-002044,CUS-002044,Rawalpindi,Residential,276.0,280.1,1.015,0.338,2.27,0,0
MTR-001395,CUS-001395,Faisalabad,Residential,168.3,122.2,0.726,0.396,2.43,0,0
MTR-000279,CUS-000279,Lahore,Residential,322.3,336.5,1.044,0.271,1.35,0,0
MTR-001465,CUS-001465,Karachi,Commercial,318.7,244.1,0.766,0.252,0.1,0,0
MTR-001503,CUS-001503,Lahore,Commercial,564.0,594.5,1.054,0.267,1.24,0,0
MTR-002282,CUS-002282,Rawalpindi,Residential,96.8,126.9,1.31,0.211,3.41,0,0
MTR-002838,CUS-002838,Islamabad,Residential,153.4,178.4,1.163,0.197,1.38,0,0
MTR-002723,CUS-002723,Faisalabad,Residential,209.2,215.7,1.031,0.168,2.18,1,0
MTR-000553,CUS-000553,Lahore,Residential,192.9,177.6,0.921,0.194,2.06,0,0
MTR-000834,CUS-000834,Peshawar,Residential,263.4,303.7,1.153,0.431,2.18,0,0
MTR-000962,CUS-000962,Islamabad,Commercial,669.7,720.8,1.076,0.245,0.66,1,0
MTR-000596,CUS-000596,Faisalabad,Residential,170.7,165.2,0.968,0.065,2.82,0,0
MTR-002451,CUS-002451,Peshawar,Commercial,1155.7,1081.0,0.935,0.253,1.9,0,0
MTR-000802,CUS-000802,Islamabad,Residential,189.6,169.0,0.891,0.173,4.31,1,0
MTR-002136,CUS-002136,Multan,Residential,173.7,181.5,1.045,0.305,1.63,0,0
MTR-002985,CUS-002985,Peshawar,Residential,303.7,288.5,0.95,0.296,2.98,0,0
MTR-002719,CUS-002719,Rawalpindi,Residential,244.3,249.2,1.02,0.304,1.61,0,0
MTR-000440,CUS-000440,Multan,Residential,204.7,227.5,1.111,0.297,3.92,2,0
MTR-000508,CUS-000508,Peshawar,Commercial,947.8,897.6,0.947,0.27,2.73,1,0
MTR-000076,CUS-000076,Karachi,Residential,88.6,95.5,1.077,0.184,0.71,1,0
MTR-002481,CUS-002481,Peshawar,Residential,316.9,363.4,1.147,0.294,3.41,0,0
MTR-000649,CUS-000649,Faisalabad,Commercial,839.9,879.7,1.047,0.382,2.78,3,0
MTR-000522,CUS-000522,Faisalabad,Commercial,1062.1,1151.3,1.084,0.445,1.53,0,0
MTR-001487,CUS-001487,Peshawar,Residential,265.4,278.2,1.048,0.281,0.39,0,0
MTR-002208,CUS-002208,Peshawar,Residential,81.9,82.1,1.002,0.29,3.2,0,0
MTR-001494,CUS-001494,Islamabad,Residential,212.5,233.8,1.1,0.34,3.73,0,0
MTR-000654,CUS-000654,Faisalabad,Residential,231.8,276.6,1.193,0.419,3.12,0,0
MTR-002816,CUS-002816,Peshawar,Residential,137.0,151.1,1.103,0.261,2.87,0,0
MTR-001538,CUS-001538,Islamabad,Residential,200.5,195.8,0.977,0.355,2.56,0,0
MTR-001423,CUS-001423,Karachi,Residential,85.1,26.4,0.31,0.609,5.13,1,1
MTR-001651,CUS-001651,Karachi,Residential,245.4,241.6,0.984,0.326,1.74,0,0
MTR-000630,CUS-000630,Multan,Industrial,3698.2,4118.7,1.114,0.378,0.19,0,0
MTR-002541,CUS-002541,Peshawar,Residential,219.1,73.8,0.337,0.718,6.17,1,1
MTR-001507,CUS-001507,Peshawar,Industrial,4820.9,4228.3,0.877,0.258,2.39,1,0
MTR-002941,CUS-002941,Karachi,Residential,166.1,175.4,1.056,0.376,0.6,0,0
MTR-000482,CUS-000482,Multan,Residential,192.1,192.6,1.003,0.349,0.1,0,0
MTR-001927,CUS-001927,Karachi,Residential,165.2,194.6,1.178,0.383,2.08,1,0
MTR-001113,CUS-001113,Peshawar,Residential,311.6,227.2,0.729,0.368,1.84,1,0
MTR-002563,CUS-002563,Islamabad,Commercial,949.9,973.6,1.025,0.273,1.76,0,0
MTR-001088,CUS-001088,Islamabad,Residential,265.2,252.4,0.952,0.476,2.58,0,0
MTR-000438,CUS-000438,Faisalabad,Industrial,5063.3,5555.6,1.097,0.311,1.25,1,0
MTR-001717,CUS-001717,Faisalabad,Residential,167.4,161.8,0.966,0.056,2.69,0,0
MTR-002443,CUS-002443,Lahore,Residential,171.7,159.8,0.931,0.277,2.69,0,0
MTR-000856,CUS-000856,Islamabad,Residential,111.4,123.9,1.112,0.262,0.1,0,0
MTR-001983,CUS-001983,Faisalabad,Residential,218.9,252.5,1.153,0.364,1.93,1,0
MTR-000166,CUS-000166,Karachi,Residential,239.5,64.9,0.271,0.853,5.72,2,1
MTR-000059,CUS-000059,Islamabad,Residential,50.8,50.3,0.991,0.388,2.75,0,0
MTR-000611,CUS-000611,Karachi,Residential,209.6,241.6,1.152,0.345,2.55,0,0
MTR-000530,CUS-000530,Rawalpindi,Residential,147.5,168.0,1.139,0.22,0.25,0,0
MTR-002787,CUS-002787,Multan,Residential,93.6,105.2,1.124,0.289,2.1,0,0
MTR-000049,CUS-000049,Rawalpindi,Residential,276.0,262.7,0.952,0.238,1.74,0,0
MTR-001883,CUS-001883,Faisalabad,Residential,204.9,188.7,0.921,0.315,3.07,1,0
MTR-001011,CUS-001011,Peshawar,Residential,158.1,189.2,1.196,0.237,0.8,2,0
MTR-000858,CUS-000858,Rawalpindi,Residential,149.2,160.1,1.073,0.306,2.0,0,0
MTR-001017,CUS-001017,Lahore,Commercial,973.3,886.7,0.911,0.278,2.87,1,0
MTR-000048,CUS-000048,Karachi,Residential,184.8,182.4,0.987,0.288,2.76,0,0
MTR-000719,CUS-000719,Rawalpindi,Residential,150.4,151.9,1.01,0.464,1.85,0,0
MTR-002390,CUS-002390,Faisalabad,Commercial,904.6,893.1,0.987,0.271,3.18,0,0
MTR-002652,CUS-002652,Islamabad,Residential,161.7,156.0,0.965,0.145,1.27,0,0
MTR-002246,CUS-002246,Multan,Residential,172.2,197.6,1.148,0.381,2.73,0,0
MTR-001159,CUS-001159,Peshawar,Residential,258.1,274.5,1.063,0.381,2.9,0,0
MTR-000632,CUS-000632,Rawalpindi,Residential,158.2,201.0,1.27,0.142,0.63,1,0
MTR-001338,CUS-001338,Karachi,Residential,193.5,223.3,1.154,0.244,3.3,0,0
MTR-002127,CUS-002127,Peshawar,Residential,141.3,143.6,1.016,0.335,0.35,0,0
MTR-002602,CUS-002602,Peshawar,Residential,191.6,224.2,1.17,0.342,2.37,0,0
MTR-001436,CUS-001436,Lahore,Residential,213.3,222.3,1.042,0.3,1.53,1,0
MTR-000025,CUS-000025,Karachi,Residential,242.2,312.5,1.29,0.301,3.01,1,0
MTR-002965,CUS-002965,Lahore,Residential,111.4,107.2,0.962,0.225,2.33,0,0
MTR-000219,CUS-000219,Rawalpindi,Residential,15.0,15.8,1.054,0.108,3.79,0,0
MTR-002818,CUS-002818,Multan,Residential,314.6,291.9,0.928,0.464,3.14,1,0
MTR-000276,CUS-000276,Karachi,Residential,187.1,178.5,0.954,0.223,2.13,1,0
MTR-002157,CUS-002157,Multan,Industrial,6100.3,5850.4,0.959,0.314,3.21,0,0
MTR-001480,CUS-001480,Faisalabad,Residential,102.2,117.4,1.148,0.287,1.9,1,0
MTR-001235,CUS-001235,Peshawar,Residential,226.9,232.6,1.025,0.372,0.91,1,0
MTR-001593,CUS-001593,Karachi,Residential,221.1,155.9,0.705,0.309,1.54,1,0
MTR-000999,CUS-000999,Rawalpindi,Residential,222.2,224.7,1.011,0.312,1.89,0,0
MTR-002140,CUS-002140,Peshawar,Industrial,2776.5,2452.0,0.883,0.089,0.1,1,0
MTR-000361,CUS-000361,Karachi,Industrial,4262.5,4037.1,0.947,0.233,3.38,0,0
MTR-001457,CUS-001457,Multan,Commercial,1050.7,1195.8,1.138,0.36,1.9,0,0
MTR-001993,CUS-001993,Islamabad,Residential,265.0,222.3,0.839,0.352,2.96,0,0
MTR-001671,CUS-001671,Peshawar,Residential,97.7,83.3,0.853,0.224,2.16,1,0
MTR-002334,CUS-002334,Peshawar,Residential,139.2,111.5,0.801,0.174,0.46,1,0
MTR-001650,CUS-001650,Rawalpindi,Residential,186.5,177.8,0.954,0.31,2.08,0,0
MTR-001835,CUS-001835,Lahore,Residential,156.4,124.7,0.797,0.067,1.88,0,0
MTR-001114,CUS-001114,Karachi,Commercial,1117.9,902.5,0.807,0.208,1.31,0,0
MTR-001846,CUS-001846,Peshawar,Residential,195.0,189.6,0.972,0.441,1.61,1,0
MTR-001317,CUS-001317,Faisalabad,Residential,101.1,104.9,1.038,0.416,2.03,1,0
MTR-002629,CUS-002629,Rawalpindi,Residential,150.9,134.4,0.891,0.339,0.1,0,0
MTR-000297,CUS-000297,Faisalabad,Commercial,680.5,710.0,1.043,0.325,2.36,0,0
MTR-001313,CUS-001313,Faisalabad,Residential,249.6,252.9,1.013,0.144,2.6,0,0
MTR-000937,CUS-000937,Lahore,Residential,112.7,120.0,1.065,0.241,2.5,0,0
MTR-000240,CUS-000240,Peshawar,Residential,257.5,225.3,0.875,0.276,1.72,1,0
MTR-001432,CUS-001432,Islamabad,Residential,71.3,88.3,1.238,0.242,3.96,0,0
MTR-000582,CUS-000582,Karachi,Residential,175.1,151.2,0.863,0.272,2.51,0,0
MTR-002906,CUS-002906,Faisalabad,Residential,162.3,150.1,0.925,0.404,1.58,0,0
MTR-001954,CUS-001954,Rawalpindi,Residential,256.5,272.4,1.062,0.257,0.76,0,0
MTR-001334,CUS-001334,Karachi,Residential,125.5,127.3,1.014,0.273,0.64,0,0
MTR-001729,CUS-001729,Faisalabad,Residential,85.6,94.3,1.102,0.359,2.4,0,0
MTR-001672,CUS-001672,Lahore,Commercial,541.8,521.7,0.963,0.186,2.72,0,0
MTR-000350,CUS-000350,Lahore,Commercial,869.2,741.2,0.853,0.233,2.12,1,0
MTR-002745,CUS-002745,Lahore,Commercial,887.7,725.2,0.817,0.241,1.94,0,0
MTR-001220,CUS-001220,Islamabad,Residential,181.4,220.1,1.214,0.304,1.66,0,0
MTR-000349,CUS-000349,Peshawar,Residential,206.1,198.6,0.964,0.272,2.49,1,0
MTR-001518,CUS-001518,Karachi,Residential,215.1,210.8,0.98,0.275,1.22,0,0
MTR-002547,CUS-002547,Islamabad,Residential,185.5,225.6,1.216,0.247,1.98,1,0
MTR-000643,CUS-000643,Lahore,Residential,179.0,168.4,0.941,0.214,2.09,0,0
MTR-002835,CUS-002835,Faisalabad,Residential,101.7,102.0,1.003,0.349,2.58,0,0
MTR-000944,CUS-000944,Karachi,Residential,193.1,169.2,0.876,0.273,1.18,0,0
MTR-001462,CUS-001462,Faisalabad,Residential,100.3,39.1,0.389,0.675,3.3,1,1
MTR-000657,CUS-000657,Karachi,Residential,103.8,127.3,1.227,0.211,2.05,0,0
MTR-002702,CUS-002702,Islamabad,Residential,165.6,203.4,1.228,0.247,2.21,0,0
MTR-002893,CUS-002893,Karachi,Residential,198.1,222.4,1.123,0.282,1.99,0,0
MTR-001236,CUS-001236,Rawalpindi,Residential,269.5,301.4,1.119,0.29,0.1,0,0
MTR-002467,CUS-002467,Rawalpindi,Residential,187.8,204.8,1.091,0.36,2.33,0,0
MTR-000647,CUS-000647,Multan,Residential,143.9,131.1,0.911,0.266,4.57,0,0
MTR-001125,CUS-001125,Karachi,Residential,121.1,125.3,1.035,0.36,2.92,0,0
MTR-001110,CUS-001110,Peshawar,Commercial,1319.1,1239.4,0.94,0.33,0.1,0,0
MTR-002650,CUS-002650,Faisalabad,Industrial,7243.7,4992.6,0.689,0.291,1.59,0,0
MTR-001940,CUS-001940,Rawalpindi,Residential,238.2,270.2,1.134,0.224,1.8,0,0
MTR-000538,CUS-000538,Islamabad,Residential,197.5,210.6,1.067,0.361,1.68,0,0
MTR-001048,CUS-001048,Multan,Residential,228.3,192.2,0.842,0.226,0.76,0,0
MTR-002983,CUS-002983,Peshawar,Residential,103.0,98.5,0.957,0.298,1.11,0,0
MTR-002375,CUS-002375,Peshawar,Residential,116.2,130.9,1.126,0.296,2.93,0,0
MTR-002209,CUS-002209,Rawalpindi,Residential,86.7,88.1,1.016,0.283,2.75,1,0
MTR-002338,CUS-002338,Islamabad,Residential,140.9,112.2,0.796,0.269,1.89,0,0
MTR-002162,CUS-002162,Rawalpindi,Residential,198.6,169.7,0.854,0.234,2.95,0,0
MTR-000801,CUS-000801,Peshawar,Residential,227.3,278.0,1.223,0.171,1.34,0,0
MTR-000786,CUS-000786,Islamabad,Residential,209.5,211.2,1.008,0.412,1.66,0,0
MTR-002694,CUS-002694,Rawalpindi,Residential,170.3,191.9,1.127,0.261,1.64,0,0
MTR-002040,CUS-002040,Multan,Residential,291.4,355.7,1.221,0.29,0.45,1,0
MTR-000788,CUS-000788,Islamabad,Residential,154.7,146.2,0.945,0.289,1.74,0,0
MTR-002183,CUS-002183,Faisalabad,Residential,129.2,134.7,1.042,0.388,3.64,0,0
MTR-002468,CUS-002468,Islamabad,Residential,226.3,172.9,0.764,0.455,3.53,2,0
MTR-002013,CUS-002013,Multan,Industrial,1747.0,1619.7,0.927,0.313,2.12,0,0
MTR-000714,CUS-000714,Peshawar,Residential,210.8,225.4,1.069,0.287,1.78,0,0
MTR-000803,CUS-000803,Multan,Residential,106.8,104.3,0.977,0.21,3.77,0,0
MTR-002008,CUS-002008,Lahore,Residential,175.9,185.4,1.054,0.185,1.75,0,0
MTR-002761,CUS-002761,Rawalpindi,Residential,182.6,203.0,1.112,0.158,1.48,1,0
MTR-000123,CUS-000123,Karachi,Residential,289.6,309.1,1.067,0.236,2.96,0,0
MTR-001808,CUS-001808,Peshawar,Residential,211.2,219.6,1.04,0.133,0.29,0,0
MTR-002286,CUS-002286,Rawalpindi,Residential,259.8,265.8,1.023,0.386,1.89,0,0
MTR-002147,CUS-002147,Rawalpindi,Residential,96.8,90.2,0.932,0.334,1.93,0,0
MTR-000618,CUS-000618,Peshawar,Residential,305.2,271.4,0.889,0.28,2.52,0,0
MTR-000406,CUS-000406,Faisalabad,Commercial,726.3,844.4,1.163,0.389,1.41,0,0
MTR-001157,CUS-001157,Multan,Residential,98.3,107.6,1.095,0.214,1.83,0,0
MTR-001068,CUS-001068,Islamabad,Residential,313.1,283.5,0.905,0.234,2.09,0,0
MTR-001133,CUS-001133,Peshawar,Residential,74.5,75.1,1.008,0.145,1.75,1,0
MTR-002905,CUS-002905,Peshawar,Residential,91.6,76.3,0.833,0.362,1.81,0,0
MTR-000497,CUS-000497,Faisalabad,Residential,225.5,212.6,0.943,0.235,2.83,0,0
MTR-001061,CUS-001061,Peshawar,Commercial,471.1,501.4,1.064,0.301,2.58,0,0
MTR-000325,CUS-000325,Islamabad,Residential,255.1,263.1,1.031,0.38,2.52,2,0
MTR-000342,CUS-000342,Rawalpindi,Residential,165.4,167.7,1.014,0.41,0.36,0,0
MTR-002356,CUS-002356,Multan,Residential,206.0,184.2,0.894,0.298,2.43,0,0
MTR-002266,CUS-002266,Rawalpindi,Residential,123.3,107.2,0.87,0.331,1.16,0,0
MTR-000782,CUS-000782,Multan,Residential,181.4,202.1,1.114,0.228,3.99,1,0
MTR-002367,CUS-002367,Peshawar,Residential,122.2,147.0,1.203,0.435,1.99,0,0
MTR-000299,CUS-000299,Rawalpindi,Commercial,843.9,899.6,1.066,0.287,1.8,0,0
MTR-001461,CUS-001461,Karachi,Residential,179.6,175.9,0.979,0.306,3.52,0,0
MTR-002373,CUS-002373,Karachi,Commercial,313.5,359.6,1.147,0.267,3.21,0,0
MTR-000303,CUS-000303,Karachi,Residential,150.1,134.9,0.899,0.396,1.76,1,0
MTR-001237,CUS-001237,Karachi,Residential,151.0,170.1,1.126,0.316,0.82,1,0
MTR-002571,CUS-002571,Karachi,Residential,99.8,92.7,0.928,0.361,0.24,1,0
MTR-001656,CUS-001656,Rawalpindi,Residential,226.9,212.0,0.934,0.328,0.95,0,0
MTR-000664,CUS-000664,Peshawar,Residential,143.0,137.3,0.96,0.282,2.32,0,0
MTR-001690,CUS-001690,Peshawar,Residential,110.6,109.3,0.988,0.374,1.85,0,0
MTR-000220,CUS-000220,Faisalabad,Residential,155.4,172.5,1.11,0.328,1.06,0,0
MTR-001626,CUS-001626,Peshawar,Residential,148.4,125.2,0.843,0.223,1.61,0,0
MTR-001188,CUS-001188,Peshawar,Residential,135.1,125.3,0.927,0.221,3.72,0,0
MTR-001455,CUS-001455,Islamabad,Residential,80.2,82.2,1.025,0.312,3.12,0,0
MTR-000449,CUS-000449,Multan,Residential,271.9,290.1,1.067,0.373,3.75,1,0
MTR-002002,CUS-002002,Islamabad,Residential,187.1,148.8,0.795,0.431,1.31,0,0
MTR-002616,CUS-002616,Peshawar,Industrial,3589.4,3249.0,0.905,0.158,2.81,0,0
MTR-000084,CUS-000084,Multan,Commercial,549.6,434.3,0.79,0.302,2.7,2,0
MTR-000941,CUS-000941,Faisalabad,Residential,133.9,122.7,0.916,0.339,3.47,1,0
MTR-000961,CUS-000961,Rawalpindi,Residential,124.5,118.0,0.948,0.324,2.01,0,0
MTR-000841,CUS-000841,Rawalpindi,Industrial,7832.9,8305.5,1.06,0.381,1.22,0,0
MTR-001326,CUS-001326,Karachi,Residential,190.6,138.2,0.725,0.352,1.1,0,0
MTR-002378,CUS-002378,Lahore,Residential,184.3,198.7,1.078,0.221,1.99,0,0
MTR-002430,CUS-002430,Multan,Residential,228.4,214.4,0.939,0.219,2.08,0,0
MTR-001373,CUS-001373,Islamabad,Residential,169.5,162.6,0.959,0.325,2.27,0,0
MTR-000290,CUS-000290,Karachi,Residential,112.4,125.5,1.117,0.379,0.6,0,0
MTR-001867,CUS-001867,Faisalabad,Residential,217.4,252.5,1.161,0.311,3.29,0,0
MTR-001554,CUS-001554,Lahore,Commercial,1017.4,937.4,0.921,0.174,0.65,1,0
MTR-000604,CUS-000604,Lahore,Residential,209.7,193.0,0.921,0.216,3.29,0,0
MTR-002032,CUS-002032,Faisalabad,Residential,260.8,249.7,0.957,0.355,1.68,1,0
MTR-000916,CUS-000916,Rawalpindi,Residential,141.4,130.1,0.92,0.272,3.85,0,0
MTR-002632,CUS-002632,Peshawar,Residential,211.9,175.4,0.828,0.309,0.25,0,0
MTR-002337,CUS-002337,Peshawar,Residential,267.3,266.3,0.996,0.385,3.18,1,0
MTR-002098,CUS-002098,Multan,Residential,155.9,143.6,0.921,0.204,0.97,0,0
MTR-002437,CUS-002437,Peshawar,Residential,113.1,114.4,1.012,0.267,0.9,1,0
MTR-000821,CUS-000821,Islamabad,Industrial,15.0,18.1,1.205,0.258,3.66,0,0
MTR-002469,CUS-002469,Faisalabad,Commercial,762.4,752.7,0.987,0.328,2.75,0,0
MTR-001000,CUS-001000,Rawalpindi,Commercial,1547.9,1407.5,0.909,0.362,0.52,0,0
MTR-001703,CUS-001703,Islamabad,Commercial,1178.4,1139.9,0.967,0.182,2.2,0,0
MTR-000018,CUS-000018,Faisalabad,Residential,264.3,268.4,1.015,0.3,3.4,1,0
MTR-001777,CUS-001777,Islamabad,Residential,326.0,319.5,0.98,0.37,2.56,0,0
MTR-001208,CUS-001208,Rawalpindi,Industrial,2760.9,2574.4,0.932,0.152,2.03,0,0
MTR-002560,CUS-002560,Faisalabad,Residential,109.2,87.5,0.801,0.295,3.15,0,0
MTR-001936,CUS-001936,Islamabad,Residential,162.0,174.3,1.076,0.203,2.37,0,0
MTR-001718,CUS-001718,Lahore,Residential,286.2,255.5,0.893,0.249,0.34,0,0
MTR-001427,CUS-001427,Karachi,Residential,189.7,223.0,1.175,0.1,2.1,1,0
MTR-002241,CUS-002241,Faisalabad,Commercial,728.2,696.0,0.956,0.411,2.48,2,0
MTR-002310,CUS-002310,Rawalpindi,Residential,192.7,180.8,0.938,0.272,2.22,0,0
MTR-001357,CUS-001357,Rawalpindi,Residential,155.7,146.9,0.943,0.235,1.6,0,0
